Class Creation.S-,Exception Handler.S+,Exception Handler.S-,Function access.S+;2;[netty_netty-9d89ad08371a7ef905c6e24589ef8d4456211a40, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Class Creation.S-,Exception Handler.S+,Exception Handler.S-,Function access.S-;2;[netty_netty-9d89ad08371a7ef905c6e24589ef8d4456211a40, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Flow loop control.T+,Function Creation.T+,Operator expression.S-,Variable declaration.S-,Variable declaration.T+;2;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, apache_tomcat-7882209c5c4491fbfe42a3f358f56c6460b762f6]
Conditional.S+,Conditional.S-,Function Creation.T+,Return modifier.T+;2;[elastic_elasticsearch-hadoop-c6327839e4d8dd7b35fcae06291cf3f69c26d71e, apache_derby-50734d82d276fa9ed8e8d5caad2be8ecec410910]
Exception Handler.S-,Flow loop control.T+,Operator expression.S-,Operator expression.T+;4;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Conditional.S-,Exception Handler.T+,Flow loop control.S-,Function Creation.T+;4;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, apache_derby-d9d733ad3724ad1a117df2bd7b488c12995b251b, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5]
Conditional.S-,Exception Handler.S-,Exception Handler.T+,Operator expression.S-,Operator expression.T+;3;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5]
Function Creation.S+,Function access.T+,Variable declaration.T+;2;[apache_tomcat-548d60449a40248e9b7fb2a8103a5e4419d6c290, netty_netty-bd9ad4b532c3e8686be1c423eda099a0887199fc]
Conditional.T+,Flow loop control.T+,Function access.S-,Operator expression.T+;3;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5]
Conditional.T+,Flow loop control.T+,Function access.S-,Operator expression.S-;3;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5]
Function Creation.T+,Function access.S-,Function access.T+,Return modifier.S-,Variable declaration.T+;6;[apache_tomcat-498d4a4cced0d6ceced4fee9393b6a89ed02325d, apache_tomcat-fb89b7a354b51d9c86c75561d69d7aa5e6721829, apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, google_ExoPlayer-8db1331021c46a6357a70ebc6f68b59ccbcff3c0, netty_netty-bd9ad4b532c3e8686be1c423eda099a0887199fc, google_ExoPlayer-b2a28a140c1eb8349e50649b6687fe18b835eeb9]
Function Creation.T+,Function access.S-,Function access.T+,Return modifier.S-,Variable declaration.S+;2;[WhisperSystems_Signal-Android-1a7ab6346f0c0306bfca098698a4a1b3b3edd18f, apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c]
Function Creation.T+,Function access.S-,Function access.T+,Return modifier.S-,Variable declaration.S-;5;[apache_tomcat-498d4a4cced0d6ceced4fee9393b6a89ed02325d, apache_tomcat-fb89b7a354b51d9c86c75561d69d7aa5e6721829, apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, google_ExoPlayer-b2a28a140c1eb8349e50649b6687fe18b835eeb9]
Class Creation.S-,Flow loop control.S-,Flow loop control.T+,Operator expression.S-,Variable declaration.T+;2;[google_ExoPlayer-8db1331021c46a6357a70ebc6f68b59ccbcff3c0, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Flow loop control.S-,Operator expression.S-,Variable declaration.S-,Variable declaration.T+;2;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, apache_tomcat-7882209c5c4491fbfe42a3f358f56c6460b762f6]
Conditional.S-,Conditional.T+,Flow loop control.S-,Function access.S-,Operator expression.T+;3;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5]
